PDOP (good): 1.52
    CN0_dBHz       RMSE_LS_m           CRB_2SP_m           RMSE_DPE_m          CRB_DPE_m    
    ________    ________________    ________________    ________________    ________________

       30        130366.11641387    97.6965631882151    3885.27371280705     74.638230675438
       31       136172.197847052    87.0721535939394    2155.92704380297     66.521393110127
       32       127484.712635543    77.6031385759241    1639.01231050059    59.2872540153644
       33       120792.587964989    69.1638700579154    212.315186522565    52.8398207605672
       34       124064.211664822    61.6423640740776    64.0755095456023    47.0935398236745
       35       108152.762434799    54.9388148098035    51.0011899498479    41.9721615478888
       36       88156.8163730363    48.9642702391935    42.8504487305377     37.407728355057
       37       72810.1399158592    43.6394517857155    37.6850232485176    33.3396729898969
       38       44266.4807643471    38.8937023436613    31.9313278446489    29.7140148293179
       39        24359.443030042    34.6640487012827     27.410961470954    26.4826435923496
       40       9662.59286518344    30.8943659245321    26.6591428511996    23.6026809459432
       41       3988.15613753164    27.5346326132864    23.9888406301274    21.0359115355433
       42       27.4389297133213    24.5402671477596    20.9388048311879    18.7482758905515
       43       23.4590624829201    21.8715361174935    18.0046626125919    16.7094184758443
       44       19.9566572824422    19.4930270831421    15.4464366643649    14.8922848922656
       45       16.9926078915837    17.3731786749169    13.9506285818911    13.2727628811867
       46       15.5633737779085    15.4838617923849     11.780115343471    11.8293623694844
       47       14.6826101853839    13.8000063483963    11.3790851359543     10.542930309327
       48       12.5987399933544    12.2992686042599    10.3942433817087    9.39639652886638
       49        11.958424046203    10.9617346819055    9.76703532355966    8.37454722142883
       50       10.9731015795654     9.7696563188215    8.36580647131221     7.4638230675438
